date,product,region,units_sold,revenue,cost
2026-01-05,Product A,North,140,280000,190000
2026-01-12,Product B,North,90,135000,92000
2026-01-19,Product C,South,70,105000,76000
2026-01-26,Product A,West,130,260000,175000
2026-02-02,Product B,South,96,144000,97000
2026-02-09,Product A,North,150,300000,205000
2026-02-16,Product C,West,74,111000,79000
2026-02-23,Product A,South,145,290000,198000
2026-03-02,Product B,West,92,138000,95000
2026-03-09,Product A,North,155,310000,210000
2026-03-16,Product C,North,80,120000,85000
2026-03-23,Product A,West,148,296000,202000
2026-04-06,Product A,North,118,236000,174000
2026-04-13,Product B,North,82,123000,93000
2026-04-20,Product C,South,72,108000,84000
2026-04-27,Product A,West,101,202000,151000
2026-05-04,Product B,South,75,112500,88000
2026-05-11,Product A,North,92,184000,140000
2026-05-18,Product C,West,68,102000,80000
2026-05-25,Product A,South,96,192000,145000
2026-06-01,Product B,West,78,117000,91000
2026-06-08,Product A,North,86,172000,133000
2026-06-15,Product C,North,65,97500,78000
2026-06-22,Product A,West,80,160000,125000
